Weekday,Mood,Weather,Workload Description,Client Demo,Goes to Office
Wednesday,Moody,Sunny,5 hrs job but can be done in focused 2 hours,No,Yes
Thursday,Sulky,Rainy,Trouble load,Yes,Yes
Monday,Moody,Sunny,5 hrs job but can be done in focused 2 hours,Yes,Yes
Friday,Moody,Windy,Trouble load,No,No
Thursday,Moody,Sunny,1 hour job but will take 7 hours,No,Yes
Friday,Moody,Rainy,5 hrs job but can be done in focused 2 hours,No,No
Friday,Sulky,Sunny,1 hour job but will take 7 hours,No,No
Thursday,Sulky,Windy,Trouble load,Yes,Yes
Wednesday,Moody,Rainy,5 hrs job but can be done in focused 2 hours,Yes,Yes
Wednesday,Chirpy,Windy,Trouble load,No,No
Friday,Moody,Sunny,1 hour job but will take 7 hours,No,No
Tuesday,Moody,Sunny,Trouble load,Yes,Yes
Tuesday,Chirpy,Rainy,Trouble load,No,No
Monday,Moody,Windy,1 hour job but will take 7 hours,No,No
Tuesday,Chirpy,Windy,5 hrs job but can be done in focused 2 hours,Yes,Yes
Wednesday,Chirpy,Sunny,Trouble load,No,Yes
Tuesday,Chirpy,Windy,5 hrs job but can be done in focused 2 hours,Yes,Yes
Monday,Moody,Windy,1 hour job but will take 7 hours,No,No
Tuesday,Chirpy,Rainy,Trouble load,No,No
Thursday,Moody,Sunny,1 hour job but will take 7 hours,No,Yes
Thursday,Sulky,Windy,Trouble load,Yes,Yes
Thursday,Moody,Windy,Trouble load,No,Yes
Monday,Chirpy,Windy,1 hour job but will take 7 hours,Yes,Yes
Wednesday,Chirpy,Rainy,1 hour job but will take 7 hours,No,No
Friday,Sulky,Windy,Trouble load,No,No
Thursday,Chirpy,Windy,Trouble load,No,Yes
Friday,Sulky,Sunny,Trouble load,Yes,Yes
Monday,Chirpy,Sunny,5 hrs job but can be done in focused 2 hours,Yes,Yes
Tuesday,Sulky,Rainy,Trouble load,No,No
Thursday,Chirpy,Windy,Trouble load,Yes,Yes
Friday,Moody,Windy,5 hrs job but can be done in focused 2 hours,Yes,Yes
Friday,Sulky,Windy,Trouble load,No,No
Monday,Sulky,Rainy,1 hour job but will take 7 hours,Yes,No
Friday,Moody,Sunny,Trouble load,No,No
Tuesday,Sulky,Sunny,1 hour job but will take 7 hours,Yes,Yes
Monday,Moody,Windy,1 hour job but will take 7 hours,Yes,Yes
Friday,Sulky,Windy,1 hour job but will take 7 hours,Yes,No
Monday,Sulky,Rainy,Trouble load,Yes,No
Tuesday,Chirpy,Windy,5 hrs job but can be done in focused 2 hours,No,Yes
Tuesday,Chirpy,Windy,5 hrs job but can be done in focused 2 hours,No,Yes
Wednesday,Chirpy,Sunny,Trouble load,No,Yes
Monday,Sulky,Windy,1 hour job but will take 7 hours,Yes,No
Thursday,Sulky,Windy,5 hrs job but can be done in focused 2 hours,No,Yes
Thursday,Chirpy,Rainy,5 hrs job but can be done in focused 2 hours,No,Yes
Friday,Moody,Windy,Trouble load,Yes,Yes
